Rk,Player,AV,GS,Season,Age,Team,G,GS,AV,Pos
98,Gregory Rousseau,10,17,2021,21,BUF,17,17,10,DE
99,Matt Ryan,10,17,2021,36,ATL,17,17,10,QB
100,DeVonta Smith,10,16,2021,23,PHI,17,16,10,WR
101,Trey Smith,10,17,2021,22,KAN,17,17,10,RG
102,Wyatt Teller,10,17,2021,27,CLE,17,17,10,RG
103,AJ Terrell,10,16,2021,23,ATL,16,16,10,CB
104,Daryl Williams,10,17,2021,29,BUF,17,17,10,G
105,Jerome Baker,9,16,2021,25,MIA,16,16,9,LB
106,Kelvin Beachum,9,15,2021,32,ARI,15,15,9,RT
107,Ja'Whaun Bentley,9,16,2021,25,NWE,16,16,9,LB
108,Joey Bosa,9,16,2021,26,LAC,16,16,9,LB
109,Tyus Bowser,9,17,2021,26,BAL,17,17,9,LB
110,DeForest Buckner,9,16,2021,27,IND,17,16,9,DT
111,Frank Clark,9,14,2021,28,KAN,14,14,9,DE
112,Kenny Clark,9,16,2021,26,GNB,16,16,9,NT
113,Dalvin Cook,9,13,2021,26,MIN,13,13,9,RB
114,Austin Corbett,9,17,2021,26,LAR,17,17,9,RG
115,Tae Crowder,9,17,2021,24,NYG,17,17,9,LB
116,Quandre Diggs,9,17,2021,28,SEA,17,17,9,S
117,Tremaine Edmunds,9,15,2021,23,BUF,15,15,9,LB
118,Mike Evans,9,16,2021,28,TAM,16,16,9,WR
119,Leonard Fournette,9,13,2021,26,TAM,14,13,9,RB
120,Davon Godchaux,9,16,2021,27,NWE,17,16,9,NT
121,Dallas Goedert,9,14,2021,27,PHI,15,14,9,TE
122,Javon Hargrave,9,16,2021,28,PHI,16,16,9,DT
123,Shelby Harris,9,16,2021,30,DEN,16,16,9,DE
124,Rob Havenstein,9,15,2021,29,LAR,15,15,9,OL
125,Sam Hubbard,9,16,2021,26,CIN,16,16,9,DE
126,Jerry Hughes,9,16,2021,33,BUF,17,16,9,DE
127,Creed Humphrey,9,17,2021,22,KAN,17,17,9,C
128,Diontae Johnson,9,14,2021,25,PIT,16,14,9,WR
129,Aaron Jones,9,15,2021,27,GNB,15,15,9,RB
130,Chandler Jones,9,15,2021,31,ARI,15,15,9,LB
131,Marshon Lattimore,9,16,2021,25,NOR,16,16,9,CB
132,Alex Mack,9,17,2021,36,SFO,17,17,9,C
133,Terry McLaurin,9,17,2021,26,WAS,17,17,9,WR
134,D.K. Metcalf,9,17,2021,24,SEA,17,17,9,WR
135,Jakobi Meyers,9,16,2021,25,NWE,17,16,9,WR
136,Darnell Mooney,9,14,2021,24,CHI,17,14,9,WR
137,D.J. Moore,9,17,2021,24,CAR,17,17,9,WR
138,Quenton Nelson,9,13,2021,25,IND,13,13,9,G
139,Denzel Perryman,9,15,2021,29,LVR,15,15,9,LB
140,Patrick Queen,9,17,2021,22,BAL,17,17,9,LB
141,David Quessenberry,9,17,2021,31,TEN,17,17,9,RT
142,Elandon Roberts,9,15,2021,27,MIA,17,15,9,LB
143,Rodger Saffold,9,15,2021,33,TEN,15,15,9,G
144,Darius Slay,9,16,2021,31,PHI,16,16,9,CB
145,Donovan Smith,9,17,2021,28,TAM,17,17,9,LT
146,Joe Thuney,9,17,2021,29,KAN,17,17,9,G
147,Laken Tomlinson,9,17,2021,29,SFO,17,17,9,G
148,Christian Wilkins,9,17,2021,26,MIA,17,17,9,DE
149,Jonah Williams,9,16,2021,24,CIN,16,16,9,LT
150,Leonard Williams,9,17,2021,27,NYG,17,17,9,NT
151,Isaiah Wynn,9,15,2021,26,NWE,16,15,9,LT
152,Brian Allen,8,16,2021,26,LAR,16,16,8,C
153,David Andrews,8,17,2021,29,NWE,17,17,8,C
154,Arik Armstead,8,17,2021,28,SFO,17,17,8,DT
155,Tyler Boyd,8,10,2021,27,CIN,16,10,8,WR
156,Jordyn Brooks,8,17,2021,24,SEA,17,17,8,LB
157,A.J. Brown,8,13,2021,24,TEN,13,13,8,WR
158,Marquise Brown,8,16,2021,24,BAL,16,16,8,WR
159,Alex Cappa,8,17,2021,26,TAM,17,17,8,RG
160,Lorenzo Carter,8,14,2021,26,NYG,14,14,8,LB
161,Brandin Cooks,8,16,2021,28,HOU,16,16,8,WR
162,Ezekiel Elliott,8,17,2021,26,DAL,17,17,8,RB
163,Zach Ertz,8,14,2021,31,ARIPHI,17,14,8,TE
164,Eric Fisher,8,15,2021,31,IND,15,15,8,LT
165,Leonard Floyd,8,17,2021,29,LAR,17,17,8,LB
166,Poona Ford,8,17,2021,26,SEA,17,17,8,NT
167,Antonio Gibson,8,14,2021,23,WAS,16,14,8,RB
168,A.J. Green,8,9,2021,33,ARI,16,9,8,WR
169,Rasheem Green,8,16,2021,24,SEA,17,16,8,LB
170,Damien Harris,8,15,2021,24,NWE,15,15,8,RB
171,Jordan Hicks,8,17,2021,29,ARI,17,17,8,LB
172,Dont'a Hightower,8,15,2021,31,NWE,15,15,8,LB
173,Cole Holcomb,8,16,2021,25,WAS,16,16,8,LB
174,Justin Houston,8,15,2021,32,BAL,15,15,8,LB
175,Jonah Jackson,8,16,2021,24,DET,16,16,8,G
176,Andre James,8,17,2021,24,LVR,17,17,8,C
177,Van Jefferson,8,17,2021,25,LAR,17,17,8,WR
178,Austin Johnson,8,17,2021,27,NYG,17,17,8,DE
179,Ben Jones,8,17,2021,32,TEN,17,17,8,C
180,D.J. Jones,8,17,2021,26,SFO,17,17,8,DT
181,Josh Jones,8,12,2021,24,ARI,17,12,8,RG
182,Alvin Kamara,8,10,2021,26,NOR,13,10,8,RB
183,Ryan Kelly,8,14,2021,28,IND,14,14,8,C
184,George Kittle,8,14,2021,28,SFO,14,14,8,TE
185,Alex Leatherwood,8,17,2021,23,LVR,17,17,8,RG
186,Charles Leno Jr.,8,17,2021,30,WAS,17,17,8,LT
187,Tyrann Mathieu,8,16,2021,29,KAN,16,16,8,S
188,Kolton Miller,8,17,2021,26,LVR,17,17,8,LT
189,Von Miller,8,15,2021,32,DENLAR,15,15,8,DE
190,Mitch Morse,8,17,2021,29,BUF,17,17,8,C
191,Royce Newman,8,16,2021,24,GNB,17,16,8,RG
192,Storm Norton,8,15,2021,27,LAC,17,15,8,RT
193,Larry Ogunjobi,8,16,2021,27,CIN,16,16,8,DT
194,Cordarrelle Patterson,8,13,2021,30,ATL,16,13,8,RB
195,Kyle Pitts,8,15,2021,21,ATL,17,15,8,TE
196,Germaine Pratt,8,15,2021,25,CIN,15,15,8,LB
197,Hunter Renfrow,8,9,2021,26,LVR,17,9,8,WR
198,Jon Runyan,8,16,2021,24,GNB,17,16,8,G
199,Devin Singletary,8,16,2021,24,BUF,17,16,8,RB
200,Harrison Smith,8,15,2021,32,MIN,15,15,8,S
201,Tyron Smith,8,11,2021,31,DAL,11,11,8,LT
202,Quinton Spain,8,16,2021,30,CIN,16,16,8,G
203,Amon-Ra St. Brown,8,9,2021,22,DET,17,9,8,WR
204,Ndamukong Suh,8,17,2021,35,TAM,17,17,8,DE
205,Josh Sweat,8,13,2021,24,PHI,16,13,8,DE
206,Billy Turner,8,13,2021,30,GNB,13,13,8,RT
207,Shy Tuttle,8,15,2021,26,NOR,17,15,8,DT
208,Leighton Vander Esch,8,16,2021,25,DAL,17,16,8,LB
209,Andrew Van Ginkel,8,14,2021,26,MIA,17,14,8,LB
210,Denzel Ward,8,15,2021,24,CLE,15,15,8,CB
211,Fred Warner,8,16,2021,25,SFO,16,16,8,LB
212,Carlos Watkins,8,14,2021,28,DAL,15,14,8,DT
213,Logan Wilson,8,13,2021,25,CIN,13,13,8,LB
214,Antoine Winfield Jr.,8,13,2021,23,TAM,13,13,8,S
215,Brandon Aiyuk,7,16,2021,23,SFO,17,16,7,WR
216,Josh Allen,7,15,2021,24,JAX,16,15,7,LB
217,Zach Allen,7,14,2021,24,ARI,15,14,7,DE
218,Azeez Al-Shaair,7,13,2021,24,SFO,13,13,7,LB
219,Cole Beasley,7,8,2021,32,BUF,16,8,7,WR
220,Tyler Biadasz,7,17,2021,24,DAL,17,17,7,C
221,Garett Bolles,7,14,2021,29,DEN,14,14,7,LT
222,James Bradberry,7,16,2021,28,NYG,17,16,7,CB
223,Malcom Brown,7,17,2021,27,JAX,17,17,7,NT
224,Daniel Brunskill,7,17,2021,27,SFO,17,17,7,RG
225,Calais Campbell,7,14,2021,35,BAL,15,14,7,DE
226,Jermaine Carter Jr.,7,17,2021,26,CAR,17,17,7,LB
227,Chuck Clark,7,16,2021,26,BAL,16,16,7,S
228,Chase Claypool,7,13,2021,23,PIT,15,13,7,WR
229,Amari Cooper,7,14,2021,27,DAL,15,14,7,WR
230,Fletcher Cox,7,16,2021,31,PHI,16,16,7,DT
231,Lloyd Cushenberry III,7,16,2021,24,DEN,16,16,7,C
232,Jesse Davis,7,16,2021,30,MIA,17,16,7,RT
233,Raekwon Davis,7,14,2021,24,MIA,14,14,7,DT
234,Chase Edmonds,7,11,2021,25,ARI,12,11,7,RB
235,Liam Eichenberg,7,16,2021,23,MIA,17,16,7,LT
236,Matt Feiler,7,16,2021,29,LAC,16,16,7,G
237,Ereck Flowers,7,16,2021,27,WAS,16,16,7,G
238,Rashan Gary,7,16,2021,24,GNB,16,16,7,LB
239,Melvin Gordon,7,16,2021,28,DEN,16,16,7,RB
240,Rob Gronkowski,7,12,2021,32,TAM,12,12,7,TE
241,Mecole Hardman,7,8,2021,23,KAN,17,8,7,WR
